Título,Nota,URL,Comentar
Tea Connection,,https://www.google.com/maps/place/Tea+Connection/data=!4m2!3m1!1s0x94ce59d11e9ae709:0xf65f1a3e27149fee,
Sofá Café - Pinheiros,,https://www.google.com/maps/place/Sof%C3%A1+Caf%C3%A9+-+Pinheiros/data=!4m2!3m1!1s0x94ce570ac38957ed:0xbb88e3130ae30061,
Viva Hostel Design,,https://www.google.com/maps/place/Viva+Hostel+Design/data=!4m2!3m1!1s0x94ce57c0910158c7:0x9b5ef45d847079f2,
Okupe Hostel Jardins,,https://www.google.com/maps/place/Okupe+Hostel+Jardins/data=!4m2!3m1!1s0x94ce578015dbe9a3:0x9aebb93387436d9b,
