Trip to italy

Título,Nota,URL,Comentar
Osteria dell'Orsa,,https://www.google.com/maps/place/Osteria+dell'Orsa/data=!4m2!3m1!1s0x477fd4bdaccad257:0x686922db2f5606d1,
All’Antico Vinaio,,https://www.google.com/maps/place/All%E2%80%99Antico+Vinaio/data=!4m2!3m1!1s0x132a5400b0e2527b:0x5bc2ab159f2707f6,
Fratelli Briganti,,https://www.google.com/maps/place/Fratelli+Briganti/data=!4m2!3m1!1s0x132a569de9114821:0x6934592734cfb5fa,
Gelateria dei Neri,,https://www.google.com/maps/place/Gelateria+dei+Neri/data=!4m2!3m1!1s0x132a54074cd0d53b:0x4d9a35023cb28f32,
