Título,Nota,URL,Comentar
Radisson Rio de Janeiro Barra,,https://www.google.com/maps/place/Radisson+Rio+de+Janeiro+Barra/data=!4m2!3m1!1s0x9bd0a0c4af9781:0x6786a7f79192edd5,
VNR Serralheria,,https://www.google.com/maps/place/VNR+Serralheria/data=!4m2!3m1!1s0x94ce5a53a57f445d:0x45b7782d27e7d088,
Sunday In Brooklyn,,https://www.google.com/maps/place/Sunday+In+Brooklyn/data=!4m2!3m1!1s0x89c25961f5821591:0xe87bf78ace54ae7d,
Restaurante Feijão de Corda,,https://www.google.com/maps/place/Restaurante+Feij%C3%A3o+de+Corda/data=!4m2!3m1!1s0x94ce4fb235be4465:0x5f5fd7769d49cd8,
Anhembi Morumbi,,https://www.google.com/maps/place/Anhembi+Morumbi/data=!4m2!3m1!1s0x94ce57536602d7f7:0xe8034f1be9c3a8b8,
Smart Fit Campo Belo,,https://www.google.com/maps/place/Smart+Fit+Campo+Belo/data=!4m2!3m1!1s0x94ce5a0aa78f688b:0xdc29967b5a164608,
Dropped Pin,,"https://www.google.com/maps/search/-22.0162493,-47.8801698",
