Título,Nota,URL,Comentar
Sítio São Fernando - Turismo Rural,,https://www.google.com/maps/place/S%C3%ADtio+S%C3%A3o+Fernando+-+Turismo+Rural/data=!4m2!3m1!1s0x94c91df658f8c97f:0x1a830434e300c48a,
Sitio Rio Das Pedras,,https://www.google.com/maps/place/Sitio+Rio+Das+Pedras/data=!4m2!3m1!1s0x94c919214c492071:0x58e108456e5bbdec,
Fazenda Chapadão - Serra Negra,,https://www.google.com/maps/place/Fazenda+Chapad%C3%A3o+-+Serra+Negra/data=!4m2!3m1!1s0x94c919ea43bb0a1b:0x9cbd1fef5e7e448d,
